
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form core H                     :      0.133u      0.017s      0.012w      1 calls
HF: Form S/X                        :      0.383u      0.017s      0.030w      1 calls
HF: Guess                           :      9.983u      0.183s      0.764w      1 calls
SAD Guess                           :      9.817u      0.183s      0.751w      1 calls
HF: Form G                          :    773.700u      8.083s     60.022w     10 calls
RV: Form V                          :    147.867u      0.067s     11.105w     10 calls
Properties                          :     28.302p                          38550 calls
Functional                          :      9.601p                          38550 calls
V_xc                                :     50.627p                          38550 calls
JK: D                               :      0.033u      0.000s      0.004w     10 calls
JK: USO2AO                          :      0.083u      0.000s      0.006w     10 calls
JK: JK                              :    625.583u      8.017s     48.896w     10 calls
JK: J                               :      3.167u      0.017s      0.481w     10 calls
JK: J1                              :      1.583u      0.000s      0.242w     10 calls
JK: J2                              :      1.533u      0.017s      0.229w     10 calls
JK: K                               :    201.833u      0.350s     15.383w     10 calls
JK: K1                              :    175.217u      0.050s     13.159w     10 calls
JK: K2                              :     26.583u      0.300s      2.221w     10 calls
JK: wK                              :    371.900u      0.550s     27.962w     20 calls
JK: wK1                             :    341.333u      0.117s     25.634w     40 calls
JK: wK2                             :     30.417u      0.433s      2.323w     20 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.050u      0.017s      0.005w     10 calls
HF: Form D                          :      0.033u      0.000s      0.003w     10 calls
HF: DIIS                            :      1.267u      0.133s      0.103w      9 calls
DIISManager::add_entry              :      0.283u      0.033s      0.022w      9 calls
DIISManager::extrapolate            :      0.417u      0.083s      0.038w      9 calls
bMatrix setup                       :      0.167u      0.050s      0.017w      9 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w      9 calls
New vector                          :      0.233u      0.033s      0.020w      9 calls
HF: Form C                          :      3.100u      0.017s      0.234w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.350u      0.100s      0.711w      1 calls
JK: (A|mn)                          :     72.600u      0.000s      5.450w      1 calls
JK: (A|Q)^-1/2                      :      8.817u      0.217s      1.049w      1 calls
JK: (Q|mn)                          :     11.967u      0.017s      1.799w      1 calls
JK: (A|mn)^L                        :     28.983u      0.033s      2.179w      1 calls
JK: (A|Q)^-1                        :      8.850u      0.133s      1.045w      1 calls
JK: (Q|mn)^L                        :     11.583u      0.000s      1.737w      1 calls
JK: (A|mn)^R                        :     32.350u      0.000s      2.428w      1 calls
HF: Form core H                     :      0.133u      0.017s      0.012w      1 calls
HF: Form S/X                        :      0.383u      0.017s      0.030w      1 calls
HF: Guess                           :      9.983u      0.183s      0.764w      1 calls
| SAD Guess                         :      9.817u      0.183s      0.751w      1 calls
HF: Form G                          :    773.700u      8.083s     60.022w     10 calls
| RV: Form V                        :    147.867u      0.067s     11.105w     10 calls
| | Properties                      :     28.302p                          38550 calls
| | Functional                      :      9.601p                          38550 calls
| | V_xc                            :     50.627p                          38550 calls
| JK: D                             :      0.033u      0.000s      0.004w     10 calls
| JK: USO2AO                        :      0.083u      0.000s      0.006w     10 calls
| JK: JK                            :    625.583u      8.017s     48.896w     10 calls
| | JK: J                           :      3.167u      0.017s      0.481w     10 calls
| | | JK: J1                        :      1.583u      0.000s      0.242w     10 calls
| | | JK: J2                        :      1.533u      0.017s      0.229w     10 calls
| | JK: K                           :    201.833u      0.350s     15.383w     10 calls
| | | JK: K1                        :    175.217u      0.050s     13.159w     10 calls
| | | JK: K2                        :     26.583u      0.300s      2.221w     10 calls
| | JK: wK                          :    371.900u      0.550s     27.962w     20 calls
| | | JK: wK1                       :    341.333u      0.117s     25.634w     40 calls
| | | JK: wK2                       :     30.417u      0.433s      2.323w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.050u      0.017s      0.005w     10 calls
HF: Form D                          :      0.033u      0.000s      0.003w     10 calls
HF: DIIS                            :      1.267u      0.133s      0.103w      9 calls
| DIISManager::add_entry            :      0.283u      0.033s      0.022w      9 calls
| DIISManager::extrapolate          :      0.417u      0.083s      0.038w      9 calls
| | bMatrix setup                   :      0.167u      0.050s      0.017w      9 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w      9 calls
| | New vector                      :      0.233u      0.033s      0.020w      9 calls
HF: Form C                          :      3.100u      0.017s      0.234w      9 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 07:27:48 2021
Timers Off: Tue Jun 22 07:29:19 2021

Wall Time:       90.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.333u      0.100s      0.708w      1 calls
JK: (A|mn)                          :     73.367u      0.017s      5.508w      1 calls
JK: (A|Q)^-1/2                      :      9.033u      0.167s      1.067w      1 calls
JK: (Q|mn)                          :     12.183u      0.033s      1.832w      1 calls
JK: (A|mn)^L                        :     29.667u      0.017s      2.229w      1 calls
JK: (A|Q)^-1                        :      8.967u      0.167s      1.058w      1 calls
JK: (Q|mn)^L                        :     11.750u      0.000s      1.764w      1 calls
JK: (A|mn)^R                        :     32.633u      0.033s      2.450w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.383u      0.000s      0.029w      1 calls
HF: Guess                           :      9.867u      0.217s      0.756w      1 calls
SAD Guess                           :      9.683u      0.217s      0.743w      1 calls
HF: Form G                          :    860.850u      9.583s     66.736w     11 calls
RV: Form V                          :    163.800u      0.050s     12.303w     11 calls
Properties                          :     30.812p                          42625 calls
Functional                          :     10.616p                          42625 calls
V_xc                                :     56.581p                          42625 calls
JK: D                               :      0.017u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.083u      0.000s      0.006w     11 calls
JK: JK                              :    696.733u      9.533s     54.410w     11 calls
JK: J                               :      3.500u      0.000s      0.533w     11 calls
JK: J1                              :      1.667u      0.000s      0.260w     11 calls
JK: J2                              :      1.767u      0.000s      0.261w     11 calls
JK: K                               :    225.300u      0.400s     17.151w     11 calls
JK: K1                              :    195.550u      0.067s     14.686w     11 calls
JK: K2                              :     29.717u      0.333s      2.462w     11 calls
JK: wK                              :    413.583u      0.533s     31.103w     22 calls
JK: wK1                             :    380.017u      0.100s     28.542w     44 calls
JK: wK2                             :     33.417u      0.433s      2.556w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.083u      0.000s      0.006w     11 calls
HF: Form D                          :      0.017u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.100s      0.119w     10 calls
DIISManager::add_entry              :      0.300u      0.017s      0.024w     10 calls
DIISManager::extrapolate            :      0.567u      0.050s      0.047w     10 calls
bMatrix setup                       :      0.250u      0.033s      0.021w     10 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.001w     10 calls
New vector                          :      0.283u      0.017s      0.025w     10 calls
HF: Form C                          :      3.450u      0.050s      0.263w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.333u      0.100s      0.708w      1 calls
JK: (A|mn)                          :     73.367u      0.017s      5.508w      1 calls
JK: (A|Q)^-1/2                      :      9.033u      0.167s      1.067w      1 calls
JK: (Q|mn)                          :     12.183u      0.033s      1.832w      1 calls
JK: (A|mn)^L                        :     29.667u      0.017s      2.229w      1 calls
JK: (A|Q)^-1                        :      8.967u      0.167s      1.058w      1 calls
JK: (Q|mn)^L                        :     11.750u      0.000s      1.764w      1 calls
JK: (A|mn)^R                        :     32.633u      0.033s      2.450w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.383u      0.000s      0.029w      1 calls
HF: Guess                           :      9.867u      0.217s      0.756w      1 calls
| SAD Guess                         :      9.683u      0.217s      0.743w      1 calls
HF: Form G                          :    860.850u      9.583s     66.736w     11 calls
| RV: Form V                        :    163.800u      0.050s     12.303w     11 calls
| | Properties                      :     30.812p                          42625 calls
| | Functional                      :     10.616p                          42625 calls
| | V_xc                            :     56.581p                          42625 calls
| JK: D                             :      0.017u      0.000s      0.004w     11 calls
| JK: USO2AO                        :      0.083u      0.000s      0.006w     11 calls
| JK: JK                            :    696.733u      9.533s     54.410w     11 calls
| | JK: J                           :      3.500u      0.000s      0.533w     11 calls
| | | JK: J1                        :      1.667u      0.000s      0.260w     11 calls
| | | JK: J2                        :      1.767u      0.000s      0.261w     11 calls
| | JK: K                           :    225.300u      0.400s     17.151w     11 calls
| | | JK: K1                        :    195.550u      0.067s     14.686w     11 calls
| | | JK: K2                        :     29.717u      0.333s      2.462w     11 calls
| | JK: wK                          :    413.583u      0.533s     31.103w     22 calls
| | | JK: wK1                       :    380.017u      0.100s     28.542w     44 calls
| | | JK: wK2                       :     33.417u      0.433s      2.556w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.083u      0.000s      0.006w     11 calls
HF: Form D                          :      0.017u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.100s      0.119w     10 calls
| DIISManager::add_entry            :      0.300u      0.017s      0.024w     10 calls
| DIISManager::extrapolate          :      0.567u      0.050s      0.047w     10 calls
| | bMatrix setup                   :      0.250u      0.033s      0.021w     10 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.001w     10 calls
| | New vector                      :      0.283u      0.017s      0.025w     10 calls
HF: Form C                          :      3.450u      0.050s      0.263w     10 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 07:29:24 2021
Timers Off: Tue Jun 22 07:30:56 2021

Wall Time:       91.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.233u      0.167s      0.711w      1 calls
JK: (A|mn)                          :     77.383u      0.000s      5.811w      1 calls
JK: (A|Q)^-1/2                      :      9.017u      0.200s      1.078w      1 calls
JK: (Q|mn)                          :     12.117u      0.033s      1.824w      1 calls
JK: (A|mn)^L                        :     30.717u      0.033s      2.308w      1 calls
JK: (A|Q)^-1                        :      8.967u      0.183s      1.069w      1 calls
JK: (Q|mn)^L                        :     11.717u      0.000s      1.758w      1 calls
JK: (A|mn)^R                        :     34.033u      0.017s      2.558w      1 calls
HF: Form core H                     :      0.150u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.383u      0.033s      0.031w      1 calls
HF: Guess                           :      9.833u      0.183s      0.753w      1 calls
SAD Guess                           :      9.667u      0.183s      0.740w      1 calls
HF: Form G                          :    865.533u      9.300s     67.185w     11 calls
RV: Form V                          :    167.217u      0.067s     12.555w     11 calls
Properties                          :     32.181p                          42570 calls
Functional                          :     10.632p                          42570 calls
V_xc                                :     57.251p                          42570 calls
JK: D                               :      0.033u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.133u      0.017s      0.006w     11 calls
JK: JK                              :    698.017u      9.217s     54.606w     11 calls
JK: J                               :      3.583u      0.000s      0.540w     11 calls
JK: J1                              :      1.767u      0.000s      0.271w     11 calls
JK: J2                              :      1.717u      0.000s      0.258w     11 calls
JK: K                               :    226.100u      0.383s     17.233w     11 calls
JK: K1                              :    196.867u      0.050s     14.782w     11 calls
JK: K2                              :     29.183u      0.333s      2.448w     11 calls
JK: wK                              :    415.317u      0.533s     31.225w     22 calls
JK: wK1                             :    381.683u      0.117s     28.665w     44 calls
JK: wK2                             :     33.450u      0.400s      2.554w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.100u      0.000s      0.006w     11 calls
HF: Form D                          :      0.033u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.100s      0.121w     10 calls
DIISManager::add_entry              :      0.350u      0.017s      0.024w     10 calls
DIISManager::extrapolate            :      0.550u      0.067s      0.047w     10 calls
bMatrix setup                       :      0.267u      0.033s      0.022w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.267u      0.033s      0.025w     10 calls
HF: Form C                          :      3.483u      0.100s      0.266w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.233u      0.167s      0.711w      1 calls
JK: (A|mn)                          :     77.383u      0.000s      5.811w      1 calls
JK: (A|Q)^-1/2                      :      9.017u      0.200s      1.078w      1 calls
JK: (Q|mn)                          :     12.117u      0.033s      1.824w      1 calls
JK: (A|mn)^L                        :     30.717u      0.033s      2.308w      1 calls
JK: (A|Q)^-1                        :      8.967u      0.183s      1.069w      1 calls
JK: (Q|mn)^L                        :     11.717u      0.000s      1.758w      1 calls
JK: (A|mn)^R                        :     34.033u      0.017s      2.558w      1 calls
HF: Form core H                     :      0.150u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.383u      0.033s      0.031w      1 calls
HF: Guess                           :      9.833u      0.183s      0.753w      1 calls
| SAD Guess                         :      9.667u      0.183s      0.740w      1 calls
HF: Form G                          :    865.533u      9.300s     67.185w     11 calls
| RV: Form V                        :    167.217u      0.067s     12.555w     11 calls
| | Properties                      :     32.181p                          42570 calls
| | Functional                      :     10.632p                          42570 calls
| | V_xc                            :     57.251p                          42570 calls
| JK: D                             :      0.033u      0.000s      0.004w     11 calls
| JK: USO2AO                        :      0.133u      0.017s      0.006w     11 calls
| JK: JK                            :    698.017u      9.217s     54.606w     11 calls
| | JK: J                           :      3.583u      0.000s      0.540w     11 calls
| | | JK: J1                        :      1.767u      0.000s      0.271w     11 calls
| | | JK: J2                        :      1.717u      0.000s      0.258w     11 calls
| | JK: K                           :    226.100u      0.383s     17.233w     11 calls
| | | JK: K1                        :    196.867u      0.050s     14.782w     11 calls
| | | JK: K2                        :     29.183u      0.333s      2.448w     11 calls
| | JK: wK                          :    415.317u      0.533s     31.225w     22 calls
| | | JK: wK1                       :    381.683u      0.117s     28.665w     44 calls
| | | JK: wK2                       :     33.450u      0.400s      2.554w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.100u      0.000s      0.006w     11 calls
HF: Form D                          :      0.033u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.100s      0.121w     10 calls
| DIISManager::add_entry            :      0.350u      0.017s      0.024w     10 calls
| DIISManager::extrapolate          :      0.550u      0.067s      0.047w     10 calls
| | bMatrix setup                   :      0.267u      0.033s      0.022w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.267u      0.033s      0.025w     10 calls
HF: Form C                          :      3.483u      0.100s      0.266w     10 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 07:31:01 2021
Timers Off: Tue Jun 22 07:32:31 2021

Wall Time:       89.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.133u      0.150s      0.703w      1 calls
JK: (A|mn)                          :     73.333u      0.000s      5.503w      1 calls
JK: (A|Q)^-1/2                      :      9.117u      0.167s      1.089w      1 calls
JK: (Q|mn)                          :     12.050u      0.000s      1.807w      1 calls
JK: (A|mn)^L                        :     29.467u      0.033s      2.214w      1 calls
JK: (A|Q)^-1                        :      9.067u      0.133s      1.077w      1 calls
JK: (Q|mn)^L                        :     11.583u      0.000s      1.738w      1 calls
JK: (A|mn)^R                        :     32.183u      0.033s      2.416w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.350u      0.033s      0.030w      1 calls
HF: Guess                           :      9.883u      0.200s      0.756w      1 calls
SAD Guess                           :      9.700u      0.200s      0.743w      1 calls
HF: Form G                          :    849.850u      9.317s     66.019w     11 calls
RV: Form V                          :    160.467u      0.083s     12.047w     11 calls
Properties                          :     30.659p                          42295 calls
Functional                          :     10.514p                          42295 calls
V_xc                                :     54.845p                          42295 calls
JK: D                               :      0.050u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.117u      0.000s      0.006w     11 calls
JK: JK                              :    689.083u      9.200s     53.948w     11 calls
JK: J                               :      3.567u      0.000s      0.544w     11 calls
JK: J1                              :      1.750u      0.000s      0.275w     11 calls
JK: J2                              :      1.700u      0.000s      0.258w     11 calls
JK: K                               :    223.383u      0.367s     17.052w     11 calls
JK: K1                              :    193.733u      0.067s     14.548w     11 calls
JK: K2                              :     29.633u      0.300s      2.501w     11 calls
JK: wK                              :    408.933u      0.667s     30.756w     22 calls
JK: wK1                             :    375.583u      0.183s     28.205w     44 calls
JK: wK2                             :     33.150u      0.483s      2.546w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.006w     11 calls
HF: Form D                          :      0.033u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.450u      0.167s      0.119w     10 calls
DIISManager::add_entry              :      0.317u      0.033s      0.024w     10 calls
DIISManager::extrapolate            :      0.533u      0.133s      0.046w     10 calls
bMatrix setup                       :      0.250u      0.067s      0.021w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     10 calls
New vector                          :      0.283u      0.067s      0.024w     10 calls
HF: Form C                          :      3.383u      0.050s      0.260w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.133u      0.150s      0.703w      1 calls
JK: (A|mn)                          :     73.333u      0.000s      5.503w      1 calls
JK: (A|Q)^-1/2                      :      9.117u      0.167s      1.089w      1 calls
JK: (Q|mn)                          :     12.050u      0.000s      1.807w      1 calls
JK: (A|mn)^L                        :     29.467u      0.033s      2.214w      1 calls
JK: (A|Q)^-1                        :      9.067u      0.133s      1.077w      1 calls
JK: (Q|mn)^L                        :     11.583u      0.000s      1.738w      1 calls
JK: (A|mn)^R                        :     32.183u      0.033s      2.416w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.350u      0.033s      0.030w      1 calls
HF: Guess                           :      9.883u      0.200s      0.756w      1 calls
| SAD Guess                         :      9.700u      0.200s      0.743w      1 calls
HF: Form G                          :    849.850u      9.317s     66.019w     11 calls
| RV: Form V                        :    160.467u      0.083s     12.047w     11 calls
| | Properties                      :     30.659p                          42295 calls
| | Functional                      :     10.514p                          42295 calls
| | V_xc                            :     54.845p                          42295 calls
| JK: D                             :      0.050u      0.000s      0.004w     11 calls
| JK: USO2AO                        :      0.117u      0.000s      0.006w     11 calls
| JK: JK                            :    689.083u      9.200s     53.948w     11 calls
| | JK: J                           :      3.567u      0.000s      0.544w     11 calls
| | | JK: J1                        :      1.750u      0.000s      0.275w     11 calls
| | | JK: J2                        :      1.700u      0.000s      0.258w     11 calls
| | JK: K                           :    223.383u      0.367s     17.052w     11 calls
| | | JK: K1                        :    193.733u      0.067s     14.548w     11 calls
| | | JK: K2                        :     29.633u      0.300s      2.501w     11 calls
| | JK: wK                          :    408.933u      0.667s     30.756w     22 calls
| | | JK: wK1                       :    375.583u      0.183s     28.205w     44 calls
| | | JK: wK2                       :     33.150u      0.483s      2.546w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.006w     11 calls
HF: Form D                          :      0.033u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.450u      0.167s      0.119w     10 calls
| DIISManager::add_entry            :      0.317u      0.033s      0.024w     10 calls
| DIISManager::extrapolate          :      0.533u      0.133s      0.046w     10 calls
| | bMatrix setup                   :      0.250u      0.067s      0.021w     10 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     10 calls
| | New vector                      :      0.283u      0.067s      0.024w     10 calls
HF: Form C                          :      3.383u      0.050s      0.260w     10 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 07:32:36 2021
Timers Off: Tue Jun 22 07:34:05 2021

Wall Time:       88.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.300u      0.150s      0.707w      1 calls
JK: (A|mn)                          :     72.683u      0.000s      5.457w      1 calls
JK: (A|Q)^-1/2                      :      9.033u      0.183s      1.077w      1 calls
JK: (Q|mn)                          :     11.983u      0.017s      1.801w      1 calls
JK: (A|mn)^L                        :     28.817u      0.033s      2.166w      1 calls
JK: (A|Q)^-1                        :      8.983u      0.167s      1.070w      1 calls
JK: (Q|mn)^L                        :     11.550u      0.017s      1.733w      1 calls
JK: (A|mn)^R                        :     31.817u      0.017s      2.390w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.417u      0.000s      0.031w      1 calls
HF: Guess                           :      9.883u      0.217s      0.758w      1 calls
SAD Guess                           :      9.700u      0.217s      0.745w      1 calls
HF: Form G                          :    844.017u      9.167s     65.547w     11 calls
RV: Form V                          :    158.450u      0.033s     11.898w     11 calls
Properties                          :     29.733p                          42570 calls
Functional                          :     10.562p                          42570 calls
V_xc                                :     54.556p                          42570 calls
JK: D                               :      0.033u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.117u      0.000s      0.006w     11 calls
JK: JK                              :    685.267u      9.133s     53.626w     11 calls
JK: J                               :      3.550u      0.000s      0.538w     11 calls
JK: J1                              :      1.783u      0.000s      0.272w     11 calls
JK: J2                              :      1.683u      0.000s      0.255w     11 calls
JK: K                               :    222.050u      0.317s     16.927w     11 calls
JK: K1                              :    192.700u      0.017s     14.475w     11 calls
JK: K2                              :     29.300u      0.283s      2.449w     11 calls
JK: wK                              :    406.633u      0.583s     30.573w     22 calls
JK: wK1                             :    373.000u      0.133s     28.016w     44 calls
JK: wK2                             :     33.467u      0.450s      2.552w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.067u      0.000s      0.006w     11 calls
HF: Form D                          :      0.050u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.150s      0.119w     10 calls
DIISManager::add_entry              :      0.300u      0.083s      0.024w     10 calls
DIISManager::extrapolate            :      0.533u      0.050s      0.046w     10 calls
bMatrix setup                       :      0.217u      0.017s      0.021w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.300u      0.033s      0.024w     10 calls
HF: Form C                          :      3.467u      0.067s      0.263w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.300u      0.150s      0.707w      1 calls
JK: (A|mn)                          :     72.683u      0.000s      5.457w      1 calls
JK: (A|Q)^-1/2                      :      9.033u      0.183s      1.077w      1 calls
JK: (Q|mn)                          :     11.983u      0.017s      1.801w      1 calls
JK: (A|mn)^L                        :     28.817u      0.033s      2.166w      1 calls
JK: (A|Q)^-1                        :      8.983u      0.167s      1.070w      1 calls
JK: (Q|mn)^L                        :     11.550u      0.017s      1.733w      1 calls
JK: (A|mn)^R                        :     31.817u      0.017s      2.390w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.417u      0.000s      0.031w      1 calls
HF: Guess                           :      9.883u      0.217s      0.758w      1 calls
| SAD Guess                         :      9.700u      0.217s      0.745w      1 calls
HF: Form G                          :    844.017u      9.167s     65.547w     11 calls
| RV: Form V                        :    158.450u      0.033s     11.898w     11 calls
| | Properties                      :     29.733p                          42570 calls
| | Functional                      :     10.562p                          42570 calls
| | V_xc                            :     54.556p                          42570 calls
| JK: D                             :      0.033u      0.000s      0.004w     11 calls
| JK: USO2AO                        :      0.117u      0.000s      0.006w     11 calls
| JK: JK                            :    685.267u      9.133s     53.626w     11 calls
| | JK: J                           :      3.550u      0.000s      0.538w     11 calls
| | | JK: J1                        :      1.783u      0.000s      0.272w     11 calls
| | | JK: J2                        :      1.683u      0.000s      0.255w     11 calls
| | JK: K                           :    222.050u      0.317s     16.927w     11 calls
| | | JK: K1                        :    192.700u      0.017s     14.475w     11 calls
| | | JK: K2                        :     29.300u      0.283s      2.449w     11 calls
| | JK: wK                          :    406.633u      0.583s     30.573w     22 calls
| | | JK: wK1                       :    373.000u      0.133s     28.016w     44 calls
| | | JK: wK2                       :     33.467u      0.450s      2.552w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.067u      0.000s      0.006w     11 calls
HF: Form D                          :      0.050u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.483u      0.150s      0.119w     10 calls
| DIISManager::add_entry            :      0.300u      0.083s      0.024w     10 calls
| DIISManager::extrapolate          :      0.533u      0.050s      0.046w     10 calls
| | bMatrix setup                   :      0.217u      0.017s      0.021w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.300u      0.033s      0.024w     10 calls
HF: Form C                          :      3.467u      0.067s      0.263w     10 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Tue Jun 22 07:34:10 2021
Timers Off: Tue Jun 22 07:35:40 2021

Wall Time:       89.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      8.833u      0.117s      0.746w      1 calls
JK: (A|mn)                          :     72.767u      0.000s      5.465w      1 calls
JK: (A|Q)^-1/2                      :      9.067u      0.233s      1.084w      1 calls
JK: (Q|mn)                          :     12.017u      0.017s      1.810w      1 calls
JK: (A|mn)^L                        :     28.783u      0.000s      2.162w      1 calls
JK: (A|Q)^-1                        :      9.050u      0.150s      1.070w      1 calls
JK: (Q|mn)^L                        :     11.600u      0.000s      1.741w      1 calls
JK: (A|mn)^R                        :     31.883u      0.017s      2.395w      1 calls
HF: Form core H                     :      0.167u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.367u      0.033s      0.030w      1 calls
HF: Guess                           :      9.750u      0.283s      0.754w      1 calls
SAD Guess                           :      9.567u      0.283s      0.741w      1 calls
HF: Form G                          :    850.300u      8.983s     65.857w     11 calls
RV: Form V                          :    160.417u      0.050s     12.045w     11 calls
Properties                          :     30.287p                          42922 calls
Functional                          :     10.667p                          42922 calls
V_xc                                :     55.076p                          42922 calls
JK: D                               :      0.067u      0.000s      0.004w     11 calls
JK: USO2AO                          :      0.067u      0.000s      0.006w     11 calls
JK: JK                              :    689.583u      8.933s     53.788w     11 calls
JK: J                               :      3.533u      0.017s      0.535w     11 calls
JK: J1                              :      1.767u      0.017s      0.272w     11 calls
JK: J2                              :      1.683u      0.000s      0.253w     11 calls
JK: K                               :    223.333u      0.383s     16.991w     11 calls
JK: K1                              :    193.550u      0.067s     14.537w     11 calls
JK: K2                              :     29.783u      0.317s      2.451w     11 calls
JK: wK                              :    408.000u      0.483s     30.670w     22 calls
JK: wK1                             :    374.467u      0.133s     28.121w     44 calls
JK: wK2                             :     33.367u      0.350s      2.544w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.050u      0.000s      0.006w     11 calls
HF: Form D                          :      0.067u      0.000s      0.004w     11 calls
HF: DIIS                            :      1.533u      0.150s      0.121w     10 calls
DIISManager::add_entry              :      0.350u      0.067s      0.025w     10 calls
DIISManager::extrapolate            :      0.600u      0.083s      0.048w     10 calls
bMatrix setup                       :      0.283u      0.050s      0.022w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     10 calls
New vector                          :      0.317u      0.033s      0.024w     10 calls
HF: Form C                          :      3.400u      0.033s      0.261w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      8.833u      0.117s      0.746w      1 calls
JK: (A|mn)                          :     72.767u      0.000s      5.465w      1 calls
JK: (A|Q)^-1/2                      :      9.067u      0.233s      1.084w      1 calls
JK: (Q|mn)                          :     12.017u      0.017s      1.810w      1 calls
JK: (A|mn)^L                        :     28.783u      0.000s      2.162w      1 calls
JK: (A|Q)^-1                        :      9.050u      0.150s      1.070w      1 calls
