
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|Q)^-1                        :    115.750u      1.433s     13.181w     16 calls
JK: (Q|mn)^L                        :    102.433u      0.000s     15.370w     16 calls
JK: (A|mn)^R                        :    241.850u      0.167s     18.180w     16 calls
HF: Form core H                     :      1.800u      0.150s      0.153w     16 calls
HF: Form S/X                        :      3.383u      0.050s      0.261w     16 calls
HF: Guess                           :      9.800u      0.250s      0.756w     16 calls
| SAD Guess                         :      9.567u      0.233s      0.735w      1 calls
HF: Form G                          :   9941.650u    127.017s    756.245w    204 calls
| RV: Form V                        :   2430.183u      0.433s    182.445w    204 calls
| | Properties                      :    432.172p                         788961 calls
| | Functional                      :    201.162p                         788961 calls
| | V_xc                            :    820.656p                         788961 calls
| JK: D                             :      0.667u      0.017s      0.054w    204 calls
| JK: USO2AO                        :      1.133u      0.067s      0.073w    204 calls
| JK: JK                            :   7507.817u    126.450s    573.514w    204 calls
| | JK: J                           :     74.533u      1.567s      6.072w    204 calls
| | | JK: J1                        :     38.283u      0.833s      2.990w    204 calls
| | | JK: J2                        :     34.450u      0.717s      2.963w    204 calls
| | JK: K                           :   2367.467u      6.533s    178.382w    204 calls
| | | JK: K1                        :   1956.283u      0.783s    146.947w    204 calls
| | | JK: K2                        :    410.917u      5.750s     31.400w    204 calls
| | JK: wK                          :   4195.917u      7.417s    315.652w    408 calls
| | | JK: wK1                       :   3781.550u      1.283s    284.039w    816 calls
| | | JK: wK2                       :    411.133u      6.100s     31.546w    408 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    204 calls
HF: Form F                          :      0.883u      0.017s      0.074w    204 calls
HF: Form D                          :      0.383u      0.017s      0.045w    204 calls
HF: DIIS                            :     18.983u      1.500s      1.529w    203 calls
| DIISManager::add_entry            :      4.067u      0.417s      0.292w    188 calls
| DIISManager::extrapolate          :      7.683u      0.917s      0.633w    188 calls
| | bMatrix setup                   :      3.500u      0.600s      0.298w    188 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.013w    188 calls
| | New vector                      :      4.000u      0.317s      0.321w    188 calls
HF: Form C                          :     40.517u      0.567s      3.089w    203 calls
Grad: V T Perturb                   :     80.783u      0.583s      6.102w     16 calls
Grad: S                             :      0.700u      0.000s      0.052w     16 calls
Grad: JK                            :   3144.983u     98.700s    314.596w     16 calls
| JKGrad: Amn                       :    376.850u     24.033s     46.363w     16 calls
| JKGrad: Awmn                      :    415.983u     23.333s     48.688w     16 calls
| JKGrad: AB                        :    143.517u      4.417s     17.779w     16 calls
| JKGrad: UV                        :     32.250u      3.550s      5.374w     16 calls
| JKGrad: ABx                       :     17.367u      0.600s      1.918w     16 calls
| JKGrad: Amnx                      :   2129.600u     41.467s    192.158w     16 calls
Grad: XC                            :    744.650u      0.233s     55.921w     16 calls
| Properties                        :    259.403p                          61881 calls
| Functional                        :     16.360p                          61881 calls
| V_xc gradient                     :    167.891p                          61881 calls

**************************************************************************************

Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 23:25:02 2021
Timers Off: Mon Jun 21 23:40:39 2021

Wall Time:      937.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     90.033u      0.767s      7.413w     11 calls
JK: (A|mn)                          :    348.050u      0.067s     26.133w     11 calls
JK: (A|Q)^-1/2                      :     81.283u      0.983s      9.373w     11 calls
JK: (Q|mn)                          :     73.017u      0.000s     10.968w     11 calls
JK: (A|mn)^L                        :    145.100u      0.133s     10.908w     11 calls
JK: (A|Q)^-1                        :     80.800u      0.950s      9.297w     11 calls
JK: (Q|mn)^L                        :     70.167u      0.000s     10.527w     11 calls
JK: (A|mn)^R                        :    169.300u      0.050s     12.710w     11 calls
HF: Form core H                     :      1.200u      0.083s      0.101w     11 calls
